zps,name,website,gruendung,mitglieder,weibliche_mitglieder,jugendliche,durchschnitts_alter,durchschnitts_dwz,dvm_teilnahmen
10210,SV 1947 Walldorf,http://schachverein-walldorf.de,,134,15,79,28,1546,7
10422,Karlsruher SF 1853,http://www.ksf1853.de,1853-00-00,203,57,111,31,1554,28
10614,OSG Baden-Baden,http://www.zugzwang.de,,298,69,149,32,1873,9
10620,SF Sasbach,http://www.schachfreunde-sasbach.de,,70,6,30,35,1599,12
10801,SK Endingen,http://www.schachklub-endingen.com,,55,12,34,33,1307,8
10806,SK Freiburg-Zähringen 1887,http://www.freiburg1887.badischer-schachverband.de/,1887-00-00,154,26,87,31,1481,6
21103,SK Neumarkt,http://www.schachklub-neumarkt.de/,,118,19,61,31,1391,14
21233,SC Erlangen 48/88,http://www.schachclub-erlangen.de/,2007-00-00,172,17,117,24,1467,17
22002,SC Tarrasch 45 München,,,152,14,64,40,1568,2
22009,SC Vaterstetten-Grasbrunn,http://www.scv-jugend.de/,1984-00-00,201,32,138,24,1364,15
22046,SK München Südost,http://www.schachklub.info/,,149,20,97,29,1499,15
24431,SK Gräfelfing,http://www.sk-graefelfing.net/,,70,7,41,30,1708,7
26048,SC Bavaria Regensburg von 1881,http://www.schachclub-bavaria-regensburg.de/,1881-00-00,92,14,38,37,1614,7
27129,SF Augsburg,http://www.schachfreunde-augsburg.de/,2012-00-00,73,8,49,27,1438,2
28224,Spvgg 1946 Stetten,http://spvggstetten.de/wordpress/?page_id=61,,96,25,48,31,1405,5
30002,SC Kreuzberg,http://www.schachclubkreuzberg.de,,164,6,40,42,1738,2
30021,SC Weisse Dame,http://sc-weisse-dame.de,1951-00-00,152,17,61,36,1666,1
30035,SV Königsjäger Süd-West,https://www.koenigsjaeger.de/,1992-00-00,120,4,59,34,1522,1
30040,SV Schachfreunde Friedrichshagen,http://www.schach-friedrichshagen.de/,,71,9,32,38,1498,4
30042,SV Empor Berlin,http://www.empor-schach.de/,,90,9,49,34,1567,15
30047,TSG Oberschöneweide,http://www.tsg-oberschoenewei.de/schach,1960-00-00,95,12,44,35,1626,2
30050,SF Nordost Berlin,http://www.sfr-nordost.berlin/,1948-00-00,96,3,46,37,1415,8
30071,SC Borussia 1920 Friedrichsfelde e.V.,http://www.sglichtenberg.de/,,57,14,43,19,1454,8
30085,Schachpinguine Berlin,http://www.schachpinguine.de/,,40,6,26,26,1389,14
30089,SV Mattnetz Berlin,http://www.sv-mattnetz.de,2014-00-00,97,10,56,32,1504,6
40023,Hamburger SK von 1830,http://www.hsk1830.de/,1830-00-00,687,103,356,31,1634,53
40038,SK Johanneum Eppendorf,http://www.skje.de/,,123,8,59,31,1564,6
53030,Biebertaler Schachfreunde,http://www.biebertaler-schachfreunde.de,,75,8,44,26,1482,5
54010,SK Gründau,,,64,6,37,30,1424,6
54018,VSG 1880 Offenbach,http://www.vsg-1880-offenbach.de,,105,10,39,39,1560,3
55001,SK Bad Homburg 1927,http://www.schachklub-bad-homburg.de,1927-00-00,126,12,65,34,1535,1
56036,Schachforum Darmstadt 1994,http://www.schachforum-darmstadt.de,,143,11,83,29,1525,5
61108,SG Bochum 1931,http://www.sgbochum31.info,,76,4,40,30,1810,20
61209,SF Brackel 1930,http://www.schachfreunde-brackel.de,1930-00-00,174,12,101,27,1531,38
